구분,유저,챗봇
질의응답,학교 위치가 어디인가요?,부산 강서구 가락대로 1393 (봉림동 15)에 위치해 있습니다!
질의응답,무엇을 배우나요?,다양한 프로그래밍 언어와 개발을 배워요!
질의응답,밥 맛있어요?,정말 맛있어요!
질의응답,1학년때 어떤 전공과목 배워요?,"프로그래밍(C, Python), Java, Web기초(HTML, CSS, JS), DB 등 을 배워요!"
일반대화,안녕하세요,안녕하세요 BSSM 챗봇입니다!
입학홍보,이 학교는 어떤 곳인가요?,"저희 학교는 4차 산업혁명 핵심기술의 근간은 ‘SW’로 글로벌 시장은 SW인재 중심으로 급속히 재편 중이며, 기업에서도 SW인재 개발 분야를 지원, 학력 불문한 SW영재양성을 필요로 하고 있습니다"
입학홍보,이 학교에 대한 정보는 어디서 얻을 수 있나요?,이 챗봇과 카카오톡 채널에 부산소프트웨어마이스터고등학교를 검색해주세요!
질의응답,위치,부산 강서구 가락대로 1393 (봉림동 15)에 위치해 있습니다!
일반대화,ㅎㅇㅎㅇ,안녕하세요 BSSM 챗봇입니다!
일반대화,반가워,안녕하세요 BSSM 챗봇입니다!
일반대화,Hello,"Hi,there! This is BSSM Chat-bot."
일반대화,Hi,"hi,there! This is BSSM Chat-bot."
질의응답,학기 중 학원을 다닐 수 있나요?,안타깝게도 학기 중 학원은 다닐 수 없어요. 주말을 이용해주세요.
질의응답,1학년 때는 어떤 인문과목들을 배우나요?,"실용국어, 수학, 통합사회, 통합과학, 실용영어가 있습니다."
질의응답,과는 무슨 과가 있나요?,소프트웨어 개발과 2반과 임베디드 소프트웨어 개발과 2반이 있습니다.
질의응답,과 종류,소프트웨어 개발과 2반과 임베디드 소프트웨어 개발과 2반이 있습니다.
입학홍보,입학 전 따야하는 자격증이 있나요?,따야하는 자격증은 따로 없어요.
질의응답,2학년 때 전과는 가능한가요?,아쉽게도 어렵습니다.
입학홍보,입학 전 어떤걸 공부해야하나요?,"C언어 기초와 Web기초(HTML,CSS,JS)를 보고 오시면 좋아요."
일반대화,야,네! 무엇이든 질문해 주세요
질의응다,입학 시 준비물은  무엇이 있나요?,기숙사 내에서 사용할 생활용품들입니다.(자세한 내용은 bssm.hs.kr 참고)
질의응답,기숙사 생활은 어떤가요?,6시20분에 기상해서 6시50분까지 기상운동을 하고 10시40분까지 노트북을 제출합니다.
질의응답,학교에서 노트북은 지급하나요?,학교에서 일인당 한 대씩 노트북 지급합니다.
질의응답,지급하는 노트북의 기종은 무엇인가요?,갤럭시 북2 Pro입니다(학년에 따라 기종의 차이가 있을 수 있음)
질의응답,아침운동은 모두가 다 하나요?,전교생 의무적으로 합니다.
질의응답,입학 전 C언어 공부는 어떻게 하면 좋을가요?,코드업(https://codeup.kr/) 기초 100제를 풀며 공부해보세요!
질의응답,게임개발에 대해서 배우나요?,정규 교유과정에는 없습니다
질의응답,학교 전화번호,051-971-2153 입니다.
질의응답,기숙사는 2인1실인가요?,맞습니다.
질의응답,기숙사는 4인1실인가요?,맞습니다.
질의응답,학교에서 제공하는건 무엇이 있나요?,"개인 당 노트북 1대, 학교 야구점퍼 1벌, 학교 반팔 1벌 입니다."
질의응답,학교에서 핸드폰 제출해요?,아침 8시에 제출하고 종례가 끝나고 다시 받을 수 있습니다.
질의응답,개인 노트북을 가져가도 되나요?,가능합니다.
질의응답,아이패드 가져가도 되나요?,가능합니다.
질의응답,개인 노트북도 노트북 제출 시간에 제출해야 하나요?,개인 노트북은 제출하지 않습니다.
욕설,ㅅㅂ,욕설은 벌점의 사유가 될 수 있습니다.
욕설,시발,욕설은 벌점의 사유가 될 수 있습니다.
질의응답,과 선택은 언제하나요?,1학년 2학기 기말고사가 끝나고 선택합니다.
질의응답,신입생과제 사이트 주소가 뭐예요?,https://bssm21-hs.goorm.io/ 입니다.
일반대화,카더가든 화이팅,갓더비트 화이팅
질의응답,기숙사 취침시간은 언제인가요?,11시 입니다.
질의응답,집에는 언제가요,금요일 일과가 마치고 돌아갑니다.
질의응답 ,기숙사는 몇시까지 들어가나요?,일요일 7시45분 까지 입소해야 합니다.
질의응답,학교 운동장 잔디에요?,인조잔디입니다.
질의응답,피트니스실에 어떤 기구 있나요?,"각종 웨이트 머신과 아령들, 러닝머신 등 이있습니다."
욕설,ㅗ,욕설은 벌점의 사유가 될 수 있습니다.
욕설,병신아,욕설은 벌점의 사유가 될 수 있습니다.
질의응답,기숙사에 냉장고 있나요?,있습니다.
질의응답,학교에서 단체로 나가는 대회가 있나요?,단체로 나가는 대회는 따로 없으나 학교 내에서의 해커톤은 있습니다.
질의응답,교직원은 몇명인가요?,2022년 5월 기준 33명입니다.
질의응답,교원은 몇명인가요?,2022년 5월 기준 33명입니다.
질의응답,학생수는 몇명인가요?,한 학년에 64명 총 4반입니다.
질의응답,한 학년에 몇명인가요?,한 학년에 64명 총 4반입니다.
질의응답,소마고를 소개해주세요,"부산소프트웨어마이스터고등학교 4차 산업혁명 핵심기술의 근간은 ‘SW’로 글로벌 시장은 SW인재 중심으로 급속히 재편 중이며, 기업에서도 SW인재 개발 분야를 지원, 학력 불문한 SW영재양성을 필요로 하고 있습니다"
질의응답,남녀 성비는 어떻게 되나요?,"남자 65%, 여자 35% 입니다."
